scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,n_queries,mean_full,mean_pruned,mean_diff_pruned_minus_full,lower_bound_relative,lower_bound_absolute,upper_bound_absolute,ci95_low,ci95_high,p_tost,p_noninferiority,t_noninferiority,p_upper_test,t_upper_test,passes_pruning_tost_p_lt_0.05,margin_respected_by_mean,margin_respected_by_ci,retained_for_plot
qualt5_dev.small,,0.15,15.0,BM25,RR@10,6980,0.1842761631873379,0.1959738709237276,0.0116977077363896,-0.05,-0.0092138081593668,1000000.0,0.006909267336812,0.0164861481359673,6.81900302340705e-18,6.81900302340705e-18,8.560809775275395,0.0,-409382548.72621286,True,True,True,True
qualt5_dev.small,,0.15,15.0,BM25,nDCG@10,6980,0.2299347532023317,0.239823368887912,0.0098886156855802,-0.05,-0.0114967376601165,1000000.0,0.0052875436591499,0.0144896877120106,5.229788136947332e-20,5.229788136947332e-20,9.111309835804027,0.0,-426053738.6696557,True,True,True,True
qualt5_dev.small,,0.15,15.0,BM25,R@100,6980,0.6777578796561604,0.6546561604584528,-0.0231017191977077,-0.05,-0.033887893982808,1000000.0,-0.0298909505176499,-0.0163124878777655,0.0009254228974238,0.0009254228974238,3.114370409246004,0.0,-288737253.3120283,True,True,True,True
qualt5_dev.small,,0.15,15.0,SPLADE,RR@10,6980,0.2969339837176513,0.286637217446673,-0.0102967662709783,-0.05,-0.0148466991858825,1000000.0,-0.0131756119100007,-0.0074179206319558,0.0009773547429706,0.0009773547429706,3.0982041487150376,0.0,-680934035.4157095,True,True,True,True
qualt5_dev.small,,0.15,15.0,SPLADE,nDCG@10,6980,0.3525535290063942,0.3392054938644724,-0.0133480351419217,-0.05,-0.0176276764503197,1000000.0,-0.0163472323949191,-0.0103488378889242,0.0025843240110689,0.0025843240110689,2.797214417244662,0.0,-653609555.8038917,True,True,True,True
qualt5_dev.small,,0.15,15.0,TAS-B,RR@10,6980,0.3472977213808159,0.334472642925365,-0.0128250784554509,-0.05,-0.0173648860690407,1000000.0,-0.016209635202084,-0.0094405217088178,0.004285980598975,0.004285980598975,2.6294145733968204,0.0,-579190756.7290199,True,True,True,True
qualt5_dev.small,,0.15,15.0,TAS-B,nDCG@10,6980,0.4106574638556805,0.3943198996648253,-0.0163375641908552,-0.05,-0.020532873192784,1000000.0,-0.0197856211138963,-0.012889507267814,0.0085496954108423,0.0085496954108423,2.3851348819443423,0.0,-568524254.0692611,True,True,True,True
qualt5_dev.small,,0.3,30.0,BM25,RR@10,6980,0.1842761631873379,0.1943879337790512,0.0101117705917132,-0.05,-0.0092138081593668,1000000.0,0.0043728189394961,0.0158507222439304,2.188764785652984e-11,2.188764785652984e-11,6.6012071219195,0.0,-341578751.1564506,True,True,True,True
qualt5_dev.small,,0.3,30.0,BM25,nDCG@10,6980,0.2299347532023317,0.2354875031452233,0.0055527499428916,-0.05,-0.0114967376601165,1000000.0,-0.0001002706174114,0.0112057705031947,1.7667181820801351e-09,1.7667181820801351e-09,5.912268967678543,0.0,-346771062.7154581,True,True,True,True
qualt5_dev.small,,0.45,45.0,BM25,RR@10,6980,0.1842761631873379,0.1889589302769818,0.0046827670896438,-0.05,-0.0092138081593668,1000000.0,-0.0017632917620336,0.0111288259413213,1.2041761854942651e-05,1.2041761854942651e-05,4.226072409818218,0.0,-304108912.75743175,True,True,True,True
qualt5_dev.small,,0.45,45.0,BM25,nDCG@10,6980,0.2299347532023317,0.2257576562211014,-0.0041770969812302,-0.05,-0.0114967376601165,1000000.0,-0.0106548515521706,0.0023006575897101,0.0133934984408308,0.0133934984408308,2.215076295002986,0.0,-302620907.4230941,True,True,True,True
tasb,test-2019_test-2020,0.15,15.0,BM25,RR@10,97,0.7986786123384061,0.8009450171821305,0.0022664048437244,-0.05,-0.0399339306169203,1000000.0,-0.0449649282954066,0.0494977379828555,0.0396545622269959,0.0396545622269959,1.773547309875212,0.0,-42026853.25830202,True,True,False,True
tasb,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,97,0.8618106692848961,0.8569137620684012,-0.0048969072164948,-0.05,-0.0430905334642448,1000000.0,-0.017763103269824,0.0079692888368343,2.8145768340967807e-08,2.8145768340967807e-08,5.892475801551764,0.0,-154279035.77900785,True,True,True,True
tasb,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,97,0.9354933726067748,0.9221076746849942,-0.0133856979217803,-0.05,-0.0467746686303387,1000000.0,-0.0308377694558239,0.0040663736122631,0.000128023804967,0.000128023804967,3.797634160814203,0.0,-113739181.86327223,True,True,True,True
tasb,test-2019_test-2020,0.3,30.0,BM25,RR@10,97,0.7986786123384061,0.8031786941580756,0.0045000818196694,-0.05,-0.0399339306169203,1000000.0,-0.0476338841165077,0.0566340477558466,0.046962852403352,0.046962852403352,1.691811010368574,0.0,-38074684.45865903,True,True,False,True
